Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints
26,0,131794,0,0,7562.712158235324,0.2878146152254112,35,4.265172249493571,12.33207146433245,42,17,0,5,1261
53,1,64280,0,0,5623.440403538175,0.023704588096541,40,8.998052435819357,12.79312489356947,69,6,0,4,3655
56,0,119826,1,0,313.98570573704205,0.0211761166851118,45,7.061957031927097,5.51956027719023,20,16,4,6,4932
54,0,91019,0,0,6876.065933068468,0.2191767523126104,29,7.690586378569636,14.10522378000823,91,6,8,8,1960
25,0,63167,1,1,2069.226732960637,0.048544767632494,8,8.353002850921659,1.6283002213143591,73,8,9,6,2189
56,1,69711,2,2,6647.599990116075,0.0183573287908504,47,7.322572600779882,4.809514375236205,83,11,3,5,3218
30,1,96680,3,3,1975.358953102468,0.1988687070512586,30,7.749708894108613,2.604676208887001,18,5,4,1,565
57,0,123746,3,2,8240.53132608198,0.0202048345166463,33,2.367269970657774,4.862957493853425,47,8,3,1,3130
66,0,78070,2,0,9375.992609295225,0.067140419628361,12,1.998946480353473,1.406692896402287,61,11,6,8,2397
41,0,114859,2,0,5148.216857380449,0.2666035267749037,41,2.6186548336678857,2.183990644772767,16,2,7,5,2574
56,0,26880,2,3,5760.4966464083645,0.0464009687881567,30,8.276746728203651,6.9215970411358185,13,15,0,4,2831
64,0,36611,2,3,859.1462285593809,0.0169897269581266,43,5.360377830830955,9.363510454459272,6,16,8,2,1775
34,0,51147,2,1,6838.101443041635,0.2266611484892296,19,7.273409567796462,11.575503512314706,82,1,9,5,4194
41,0,75803,0,1,8307.31672748765,0.2729187879028877,12,7.444034135021771,5.4535197169346015,91,6,0,5,3720
69,0,112648,1,3,5452.326045679503,0.1084460164437143,39,1.1468046737053283,3.944878720341664,8,0,0,7,872
44,1,68723,1,3,8166.600453234234,0.1868178147723573,18,6.013447336436707,1.998985204180579,30,17,1,7,1599
47,1,140703,2,3,3525.569034883033,0.2903158376312509,14,1.441103225151256,12.787094410916014,70,4,0,3,855
49,1,87561,2,2,5289.2019730759,0.0784800604308609,11,6.549054506250422,12.803428466299692,99,16,8,2,2993
61,0,115190,2,1,546.9065312349769,0.0473041998507098,21,8.960451681539709,3.259180695599735,35,13,1,8,988
67,0,111671,3,3,6588.06518631258,0.0799161433658328,41,9.352782255240026,3.741056881040549,78,6,7,0,3105
65,0,134829,4,0,1610.514199263606,0.2263496611846387,17,4.117756270298045,3.4630403922100994,89,11,3,3,700
32,1,30686,1,3,3838.74441330802,0.0236181979635282,23,1.1845212911024556,4.697293160534945,54,8,2,1,3395
69,1,107804,2,0,5029.948424809986,0.1929610639150212,32,6.505027362621037,13.081890940048014,73,19,3,3,3087
27,0,57372,1,0,6745.677722176814,0.2306996757697866,45,9.851460531653029,2.287118436901315,50,4,9,7,4337
27,1,45381,4,0,7899.658209610461,0.163130022275681,32,7.656122625130635,4.032683363625399,30,0,7,6,911
55,1,89550,3,3,1571.9494420423568,0.0695027981372667,47,5.4298164553968284,12.029169612813304,98,3,1,9,1996
49,1,93513,4,0,3734.107513388816,0.1698721848485168,46,7.966376185183948,10.14678960291641,3,19,6,6,727
60,0,140452,1,3,8926.694419976728,0.2352242433464655,27,9.519456859659224,7.267197075267218,51,13,4,6,261
23,1,99118,4,0,7393.618572460716,0.2554467355026962,29,3.57534670064621,14.356212731431665,79,8,9,0,3895
31,0,38260,2,1,6026.835549318941,0.0691770642085706,47,7.415505934727701,8.912874921625754,22,5,1,9,2382
37,0,98179,2,2,2060.52596207606,0.2204850539497251,15,5.829167117881699,11.324026058708611,47,18,3,5,465
62,0,99384,4,0,4291.0657091495295,0.0120230212326674,43,2.052283101099732,10.064269694063832,36,16,6,8,3876
38,1,115716,4,3,5499.135801426884,0.2508501700470702,11,3.660548673340697,7.334212409058936,50,14,1,7,1825
35,1,142121,3,2,6905.34579419096,0.010004853514801,3,4.5273120434517145,14.943723951535477,45,19,5,0,2122
24,0,36636,3,1,9449.435237490598,0.2793403601270603,23,2.8503937663138217,3.535344961416563,91,10,6,7,4825
